stnId,stnNm,yyyymm,days_in_month,yn_month,avg_yn_month
133,대전,2024-04,30,23,0.7666666666666667
133,대전,2024-05,31,22,0.7096774193548387
133,대전,2024-06,30,24,0.8
133,대전,2024-07,31,9,0.2903225806451613
133,대전,2024-08,31,19,0.6129032258064516
133,대전,2024-09,30,24,0.8
133,대전,2024-10,31,19,0.6129032258064516
133,대전,2024-11,30,20,0.6666666666666666
133,대전,2024-12,31,21,0.6774193548387096
135,추풍령,2024-01,31,9,0.2903225806451613
135,추풍령,2024-02,29,12,0.41379310344827586
135,추풍령,2024-03,31,21,0.6774193548387096
135,추풍령,2024-04,30,21,0.7
135,추풍령,2024-05,31,20,0.6451612903225806
135,추풍령,2024-06,30,24,0.8
135,추풍령,2024-07,31,11,0.3548387096774194
135,추풍령,2024-08,31,25,0.8064516129032258
135,추풍령,2024-09,30,23,0.7666666666666667
135,추풍령,2024-10,31,18,0.5806451612903226
135,추풍령,2024-11,30,20,0.6666666666666666
135,추풍령,2024-12,31,14,0.45161290322580644
136,안동,2024-01,31,12,0.3870967741935484
136,안동,2024-02,29,15,0.5172413793103449
136,안동,2024-03,31,18,0.5806451612903226
136,안동,2024-04,30,21,0.7
136,안동,2024-05,31,23,0.7419354838709677
136,안동,2024-06,30,22,0.7333333333333333
136,안동,2024-07,31,13,0.41935483870967744
136,안동,2024-08,31,24,0.7741935483870968
136,안동,2024-09,30,24,0.8
136,안동,2024-10,31,21,0.6774193548387096
136,안동,2024-11,30,25,0.8333333333333334
136,안동,2024-12,31,18,0.5806451612903226
137,상주,2024-01,31,14,0.45161290322580644
137,상주,2024-02,29,14,0.4827586206896552
137,상주,2024-03,31,19,0.6129032258064516
137,상주,2024-04,30,20,0.6666666666666666
137,상주,2024-05,31,21,0.6774193548387096
137,상주,2024-06,30,22,0.7333333333333333
137,상주,2024-07,31,13,0.41935483870967744
137,상주,2024-08,31,25,0.8064516129032258
137,상주,2024-09,30,23,0.7666666666666667
137,상주,2024-10,31,20,0.6451612903225806
137,상주,2024-11,30,22,0.7333333333333333
137,상주,2024-12,31,22,0.7096774193548387
138,포항,2024-01,31,19,0.6129032258064516
138,포항,2024-02,29,12,0.41379310344827586
138,포항,2024-03,31,21,0.6774193548387096
138,포항,2024-04,30,21,0.7
138,포항,2024-05,31,22,0.7096774193548387
138,포항,2024-06,30,19,0.6333333333333333
138,포항,2024-07,31,20,0.6451612903225806
138,포항,2024-08,31,23,0.7419354838709677
138,포항,2024-09,30,17,0.5666666666666667
138,포항,2024-10,31,18,0.5806451612903226
138,포항,2024-11,30,24,0.8
138,포항,2024-12,31,28,0.9032258064516129
140,군산,2024-01,31,15,0.4838709677419355
140,군산,2024-02,29,15,0.5172413793103449
140,군산,2024-03,31,23,0.7419354838709677
140,군산,2024-04,30,23,0.7666666666666667
140,군산,2024-05,31,21,0.6774193548387096
140,군산,2024-06,30,24,0.8
140,군산,2024-07,31,12,0.3870967741935484
140,군산,2024-08,31,23,0.7419354838709677
140,군산,2024-09,30,24,0.8
140,군산,2024-10,31,19,0.6129032258064516
140,군산,2024-11,30,22,0.7333333333333333
140,군산,2024-12,31,13,0.41935483870967744
143,대구,2024-01,31,19,0.6129032258064516
143,대구,2024-02,29,16,0.5517241379310345
143,대구,2024-03,31,22,0.7096774193548387
143,대구,2024-04,30,21,0.7
143,대구,2024-05,31,21,0.6774193548387096
143,대구,2024-06,30,22,0.7333333333333333
143,대구,2024-07,31,14,0.45161290322580644
143,대구,2024-08,31,23,0.7419354838709677
143,대구,2024-09,30,22,0.7333333333333333
143,대구,2024-10,31,19,0.6129032258064516
143,대구,2024-11,30,26,0.8666666666666667
143,대구,2024-12,31,28,0.9032258064516129
146,전주,2024-01,31,13,0.41935483870967744
146,전주,2024-02,29,14,0.4827586206896552
146,전주,2024-03,31,22,0.7096774193548387
146,전주,2024-04,30,19,0.6333333333333333
146,전주,2024-05,31,20,0.6451612903225806
146,전주,2024-06,30,24,0.8
146,전주,2024-07,31,14,0.45161290322580644
146,전주,2024-08,31,20,0.6451612903225806
146,전주,2024-09,30,20,0.6666666666666666
146,전주,2024-10,31,18,0.5806451612903226
